animal	DOB	sex	study	study2	DateStudy	Age	Rearing	Rearing2	Rearing3	RawScore	AdjScore	SLBinary	Context	Task	TotalExp	Participated	CurExp	ID	Age group
TABU 9703	33475	M	16	7	01/09/2005	14	M	M	C	NA	NA	0	Group	Tool	2	0	0	TABU 9703	2
TAFFY 9713	36396	F	16	7	01/09/2005	6	M	M	C	NA	NA	0	Group	Tool	0	0	0	TAFFY 9713	1
TAHMIA 5565	32704	F	16	7	01/09/2005	16	M	M	C	NA	NA	0	Group	Tool	1	0	0	TAHMIA 5565	3
TAMBLO 5695	33230	M	16	7	01/09/2005	14	M	M	C	NA	NA	0	Group	Tool	1	0	0	TAMBLO 5695	2
TANG 2169	24838	F	16	7	01/09/2005	37	W	M	W	NA	NA	0	Group	Tool	3	0	0	TANG 2169	4
TANYA 2354	25204	F	16	7	01/09/2005	36	W	M	W	NA	NA	0	Group	Tool	0	0	0	TANYA 2354	4
TASHA 5871	33926	F	16	7	01/09/2005	12	M	M	C	NA	NA	0	Group	Tool	7	0	0	TASHA 5871	2
TINA 5210	31436	F	16	7	01/09/2005	19	M	M	C	NA	NA	0	Group	Tool	6	0	1	TINA 5210	3
TINKER 4751	30619	M	16	7	01/09/2005	21	U	U	U	NA	NA	0	Group	Tool	3	0	1	TINKER 4751	3
TODY 2720	25934	F	16	7	01/09/2005	34	W	M	W	NA	NA	0	Group	Tool	0	0	0	TODY 2720	4
TOHBI 5556	32673	M	16	7	01/09/2005	16	M	M	C	NA	NA	0	Group	Tool	2	0	0	TOHBI 5556	3
TONY 5651	33044	M	16	7	01/09/2005	15	U	U	U	NA	NA	0	Group	Tool	2	0	0	TONY 5651	2
TOTONI 6007	34363	M	16	7	01/09/2005	11	M	M	C	NA	NA	0	Group	Tool	2	0	0	TOTONI 6007	2
TRACEY 5300	31778	F	16	7	01/09/2005	18	N	N	C	NA	NA	0	Group	Tool	2	0	0	TRACEY 5300	3
TULIK 4206	29342	F	16	7	01/09/2005	25	M	M	C	NA	NA	0	Group	Tool	6	0	0	TULIK 4206	3
VERANA 2431	25204	F	16	7	01/09/2005	36	W	M	W	NA	NA	0	Group	Tool	4	0	0	VERANA 2431	4
URSULA 1719	23377	F	16	7	01/09/2005	41	W	M	W	1	1	1	Group	Tool	4	1	2	URSULA 1719	4
WOTONI 4562	30115	F	16	7	01/09/2005	23	M	M	C	NA	NA	0	Group	Tool	0	0	0	WOTONI 4562	3
XENA 6487	36229	F	16	7	01/09/2005	6	M	M	C	NA	NA	0	Group	Tool	3	0	0	XENA 6487	1
ZIPPY 2537	25934	M	16	7	01/09/2005	34	W	M	W	NA	NA	0	Group	Tool	3	0	1	ZIPPY 2537	4
ZOE 10254	37359	F	16	7	01/09/2005	3	M	M	C	NA	NA	0	Group	Tool	8	0	1	ZOE 10254	1
ABBEY 2105	32955	F	17	7	01/09/2005	15	W	M	W	NA	NA	0	Group	Tool	2	0	0	ABBEY 2105	2
ADONIS 3521	27434	M	17	7	01/09/2005	30	M	M	C	0	0	0	Group	Tool	4	1	4	ADONIS 3521	3
AHNI 6104	34721	F	17	7	01/09/2005	10	M	M	C	NA	NA	0	Group	Tool	4	0	0	AHNI 6104	2
AJAX 3912	28491	M	17	7	01/09/2005	27	U	U	U	0	0	0	Group	Tool	6	1	5	AJAX 3912	3
AKIMEL 4152	29260	M	17	7	01/09/2005	25	N	N	C	NA	NA	0	Group	Tool	6	0	0	AKIMEL 4152	3
ALEX 5188	31412	M	17	7	01/09/2005	19	M	M	C	NA	NA	0	Group	Tool	6	0	1	ALEX 5188	3
ALLIE 5540	32622	F	17	7	01/09/2005	16	N	N	C	NA	NA	0	Group	Tool	0	0	0	ALLIE 5540	3
ALPHA 5066	30994	F	17	7	01/09/2005	20	M	M	C	NA	NA	0	Group	Tool	7	0	1	ALPHA 5066	3
ANGIE 3462	27395	F	17	7	01/09/2005	30	W	M	W	NA	NA	0	Group	Tool	5	0	0	ANGIE 3462	3
ARMOND 9728	31720	M	17	7	01/09/2005	18	U	U	U	NA	NA	0	Group	Tool	5	0	4	ARMOND 9728	3
APRIL 420	29341	F	17	7	01/09/2005	25	M	M	C	0	0	0	Group	Tool	4	1	0	APRIL 420	3
AUSTIN 5803	33608	M	17	7	01/09/2005	13	M	M	C	NA	NA	0	Group	Tool	5	0	0	AUSTIN 5803	2
BAHN 4523	30012	M	17	7	01/09/2005	23	M	M	C	NA	NA	0	Group	Tool	3	0	0	BAHN 4523	3
BART 5630	32955	M	17	7	01/09/2005	15	N	N	C	NA	NA	0	Group	Tool	2	0	0	BART 5630	2
BASHFUL 1768	24108	F	17	7	01/09/2005	39	W	M	W	NA	NA	0	Group	Tool	1	0	0	BASHFUL 1768	4
BECCA 5717	33280	F	17	7	01/09/2005	14	N	N	C	NA	NA	0	Group	Tool	5	0	0	BECCA 5717	2
BERNADETTE 3867	28539	F	17	7	01/09/2005	27	N	N	C	NA	NA	0	Group	Tool	8	0	0	BERNADETTE 3867	3
BERNIE 1929	24473	F	17	7	01/09/2005	38	W	M	W	NA	NA	0	Group	Tool	3	0	0	BERNIE 1929	4
BETA 6039	34508	F	17	7	01/09/2005	11	M	M	C	NA	NA	0	Group	Tool	5	0	0	BETA 6039	2
BETSY 1856	23743	F	17	7	01/09/2005	40	W	M	W	NA	NA	0	Group	Tool	3	0	1	BETSY 1856	4
BETTY 3440	27277	F	17	7	01/09/2005	31	M	M	C	NA	NA	0	Group	Tool	7	0	0	BETTY 3440	3
BILLY 5957	34136	M	17	7	01/09/2005	12	M	M	C	NA	NA	0	Group	Tool	6	0	0	BILLY 5957	2
BISCHK 5180	31388	F	17	7	01/09/2005	19	M	M	C	NA	NA	0	Group	Tool	1	0	0	BISCHK 5180	3
BO 5951	34105	M	17	7	01/09/2005	12	M	M	C	NA	NA	0	Group	Tool	5	0	0	BO 5951	2
BRENDA 2768	26299	F	17	7	01/09/2005	33	W	M	W	0	0	0	Group	Tool	4	1	3	BRENDA 2768	3
BRIA 6167	34942	F	17	7	01/09/2005	10	M	M	C	0	0	0	Group	Tool	6	1	3	BRIA 6167	2
BRUCE 3402	27365	M	17	7	01/09/2005	30	U	U	U	NA	NA	0	Group	Tool	0	0	0	BRUCE 3402	3
CASSIE 5555	32662	F	17	7	01/09/2005	16	M	M	C	NA	NA	0	Group	Tool	6	0	0	CASSIE 5555	3
CATHERINE 4015	28897	F	17	7	01/09/2005	26	M	M	C	NA	NA	0	Group	Tool	1	0	0	CATHERINE 4015	3
CECELIA 5721	33293	F	17	7	01/09/2005	14	M	M	C	NA	NA	0	Group	Tool	9	0	1	CECELIA 5721	2
CESAR 5383	32064	M	17	7	01/09/2005	17	N	N	C	NA	NA	0	Group	Tool	0	0	0	CESAR 5383	3
CHECHEKUL 4544	30074	F	17	7	01/09/2005	23	N	N	C	NA	NA	0	Group	Tool	0	0	0	CHECHEKUL 4544	3
CHEOPI 6493	33216	F	17	7	01/09/2005	14	N	N	C	NA	NA	0	Group	Tool	5	0	0	CHEOPI 6493	2
CHESTER 6208	35097	M	17	7	01/09/2005	9	M	M	C	NA	NA	0	Group	Tool	6	0	0	CHESTER 6208	2
CHINOOK 5465	32380	M	17	7	01/09/2005	17	U	U	U	0	0	0	Group	Tool	7	1	4	CHINOOK 5465	3
CHRISSY 2525	25563	F	17	7	01/09/2005	35	M	M	C	NA	NA	0	Group	Tool	2	0	0	CHRISSY 2525	4
CHUHIA 4244	29478	F	17	7	01/09/2005	24	M	M	C	NA	NA	0	Group	Tool	2	0	0	CHUHIA 4244	3
COCO 5061	30914	F	17	7	01/09/2005	21	M	M	C	NA	NA	0	Group	Tool	3	0	0	COCO 5061	3
CODY 5618	32909	M	17	7	01/09/2005	15	M	M	C	NA	NA	0	Group	Tool	3	0	0	CODY 5618	2
CORDOVA 2763	26299	M	17	7	01/09/2005	33	W	M	W	NA	NA	0	Group	Tool	2	0	0	CORDOVA 2763	3
CYBILL 6182	35030	F	17	7	01/09/2005	9	M	M	C	NA	NA	0	Group	Tool	0	0	0	CYBILL 6182	2
DAHPI 5130	31262	F	17	7	01/09/2005	20	M	M	C	NA	NA	0	Group	Tool	2	0	0	DAHPI 5130	3
DODA 4654	30336	F	17	7	01/09/2005	22	N	N	C	NA	NA	0	Group	Tool	3	0	0	DODA 4654	3
DOYLE 4721	30458	M	17	7	01/09/2005	22	M	M	C	NA	NA	0	Group	Tool	5	0	0	DOYLE 4721	3
EESHA 5229	31492	F	17	7	01/09/2005	19	N	N	C	NA	NA	0	Group	Tool	0	0	0	EESHA 5229	3
EHSTO 6174	34978	M	17	7	01/09/2005	9	M	M	C	NA	NA	0	Group	Tool	4	0	0	EHSTO 6174	2
EMILY 5073	31006	F	17	7	01/09/2005	20	M	M	C	NA	NA	0	Group	Tool	6	0	0	EMILY 5073	3
ENIGA 10245	31167	F	17	7	01/09/2005	20	M	M	C	NA	NA	0	Group	Tool	2	0	0	ENIGA 10245	3
GAGE 7153	36950	M	17	7	01/09/2005	4	M	M	C	NA	NA	0	Group	Tool	6	0	1	GAGE 7153	1
GAYGOS 5787	33551	M	17	7	01/09/2005	13	N	N	C	NA	NA	0	Group	Tool	5	0	0	GAYGOS 5787	2
GERTRUDE 2201	24838	F	17	7	01/09/2005	37	W	M	W	NA	NA	0	Group	Tool	6	0	0	GERTRUDE 2201	4
GIGI 1732	22647	F	17	7	01/09/2005	43	W	M	W	0	0	0	Group	Tool	5	1	4	GIGI 1732	4
GIMP 9696	25204	M	17	7	01/09/2005	36	W	M	W	0	0	0	Group	Tool	5	1	4	GIMP 9696	4
GISOKI 4746	30607	M	17	7	01/09/2005	21	M	M	C	NA	NA	0	Group	Tool	2	0	0	GISOKI 4746	3
GLENDA 2108	24473	F	17	7	01/09/2005	38	W	M	W	NA	NA	0	Group	Tool	2	0	0	GLENDA 2108	4
GRACIE 5867	33851	F	17	7	01/09/2005	13	N	N	C	NA	NA	0	Group	Tool	3	0	0	GRACIE 5867	2
GREMLIN 2601	25934	M	17	7	01/09/2005	34	W	M	W	NA	NA	0	Group	Tool	2	0	0	GREMLIN 2601	4
HAAKID 5797	33602	M	17	7	01/09/2005	13	M	M	C	NA	NA	0	Group	Tool	4	0	0	HAAKID 5797	2
HANNAH 5691	33219	F	17	7	01/09/2005	14	M	M	C	NA	NA	0	Group	Tool	6	0	0	HANNAH 5691	2
HAPPY 3741	28124	F	17	7	01/09/2005	28	U	U	U	NA	NA	0	Group	Tool	0	0	0	HAPPY 3741	3
HAPPY P 1407	22647	F	17	7	01/09/2005	43	W	M	W	NA	NA	0	Group	Tool	0	0	0	HAPPY P 1407	4
HELGA 2006	24108	F	17	7	01/09/2005	39	W	M	W	NA	NA	0	Group	Tool	4	0	0	HELGA 2006	4
HENRYET 2602	26299	F	17	7	01/09/2005	33	W	M	W	NA	NA	0	Group	Tool	0	0	0	HENRYET 2602	3
HOBBES 5659	33071	M	17	7	01/09/2005	15	N	N	C	NA	NA	0	Group	Tool	5	0	0	HOBBES 5659	2
HODARI 5941	34061	F	17	7	01/09/2005	12	M	M	C	NA	NA	0	Group	Tool	5	0	0	HODARI 5941	2
HUEY 5687	33189	M	17	7	01/09/2005	14	M	M	C	NA	NA	0	Group	Tool	4	0	1	HUEY 5687	2
HUG 6377	35748	F	17	7	01/09/2005	7	M	M	C	NA	NA	0	Group	Tool	1	0	0	HUG 6377	1
HUHKALIG 4703	30395	M	17	7	01/09/2005	22	M	M	C	NA	NA	0	Group	Tool	4	0	0	HUHKALIG 4703	3
HUHNI 6046	34562	M	17	7	01/09/2005	11	M	M	C	NA	NA	0	Group	Tool	2	0	0	HUHNI 6046	2
IDANI 5048	30893	F	17	7	01/09/2005	21	M	M	C	NA	NA	0	Group	Tool	2	0	0	IDANI 5048	3
INDIA 5276	31729	F	17	7	01/09/2005	18	N	N	C	NA	NA	0	Group	Tool	1	0	0	INDIA 5276	3
IRIS 5835	33732	F	17	7	01/09/2005	13	N	N	C	NA	NA	0	Group	Tool	0	0	0	IRIS 5835	2
JAKE 5658	33045	M	17	7	01/09/2005	15	M	M	C	NA	NA	0	Group	Tool	2	0	0	JAKE 5658	2
JANA 5430	32218	F	17	7	01/09/2005	17	M	M	C	NA	NA	0	Group	Tool	4	0	0	JANA 5430	3
JANE 2830	25934	F	17	7	01/09/2005	34	W	M	W	NA	NA	0	Group	Tool	6	0	0	JANE 2830	4
JAYME 4047	28997	F	17	7	01/09/2005	26	N	N	C	NA	NA	0	Group	Tool	0	0	0	JAYME 4047	3
JESSIE 5905	33988	F	17	7	01/09/2005	12	M	M	C	NA	NA	0	Group	Tool	5	0	0	JESSIE 5905	2
JOEY 3033	26299	M	17	7	01/09/2005	33	W	M	W	NA	NA	0	Group	Tool	6	0	1	JOEY 3033	3
JOSIE 5626	32936	F	17	7	01/09/2005	15	M	M	C	NA	NA	0	Group	Tool	5	0	0	JOSIE 5626	2
JOYCE 3865	28518	F	17	7	01/09/2005	27	U	U	U	NA	NA	0	Group	Tool	0	0	0	JOYCE 3865	3
JUDUMI 5676	33111	M	17	7	01/09/2005	15	N	N	C	NA	NA	0	Group	Tool	6	0	0	JUDUMI 5676	2
JUDY 2170	24838	F	17	7	01/09/2005	37	W	M	W	NA	NA	0	Group	Tool	5	0	0	JUDY 2170	4
JUNIE 2243	24108	F	17	7	01/09/2005	39	W	M	W	NA	NA	0	Group	Tool	1	0	0	JUNIE 2243	4
KAKAICHU 4305	29566	F	17	7	01/09/2005	24	M	M	C	NA	NA	0	Group	Tool	3	0	0	KAKAICHU 4305	3
KALIONI 4441	29863	M	17	7	01/09/2005	23	M	M	C	NA	NA	0	Group	Tool	6	0	0	KALIONI 4441	3
KAMPANI 5711	33266	F	17	7	01/09/2005	14	M	M	C	NA	NA	0	Group	Tool	1	0	0	KAMPANI 5711	2
KAREEM 6880	32512	M	17	7	01/09/2005	16	U	U	U	1	1	1	Group	Tool	2	1	2	KAREEM 6880	3
KARIN 1422	22647	F	17	7	01/09/2005	43	W	M	W	NA	NA	0	Group	Tool	3	0	0	KARIN 1422	4
KAYA 5679	33137	F	17	7	01/09/2005	14	N	N	C	NA	NA	0	Group	Tool	1	0	0	KAYA 5679	2
KEHG 4540	30071	M	17	7	01/09/2005	23	M	M	C	NA	NA	0	Group	Tool	3	0	0	KEHG 4540	3
KELLEY 2107	24108	F	17	7	01/09/2005	39	W	M	W	NA	NA	0	Group	Tool	5	0	1	KELLEY 2107	4
KENO 5753	33402	M	17	7	01/09/2005	14	N	N	C	NA	NA	0	Group	Tool	5	0	0	KENO 5753	2
KIA 5377	32035	F	17	7	01/09/2005	17	M	M	C	NA	NA	0	Group	Tool	1	0	0	KIA 5377	3
KIHT 5461	32361	F	17	7	01/09/2005	17	N	N	C	NA	NA	0	Group	Tool	5	0	0	KIHT 5461	3
KOBI 3020	26299	M	17	7	01/09/2005	33	W	M	W	NA	NA	0	Group	Tool	5	0	0	KOBI 3020	3
KROG 5823	33671	M	17	7	01/09/2005	13	M	M	C	NA	NA	0	Group	Tool	1	0	0	KROG 5823	2
KUDZU 4639	30292	M	17	7	01/09/2005	22	M	M	C	NA	NA	0	Group	Tool	5	0	0	KUDZU 4639	3
KUHTA 4162	29291	M	17	7	01/09/2005	25	M	M	C	NA	NA	0	Group	Tool	5	0	0	KUHTA 4162	3
KUKUI 5035	30796	M	17	7	01/09/2005	21	M	M	C	NA	NA	0	Group	Tool	2	0	0	KUKUI 5035	3
LACEY 3915	28605	F	17	7	01/09/2005	27	U	U	U	NA	NA	0	Group	Tool	2	0	1	LACEY 3915	3
LEXUS 6396	35849	F	17	7	01/09/2005	7	M	M	C	NA	NA	0	Group	Tool	6	0	1	LEXUS 6396	1
LULU 4510	29967	F	17	7	01/09/2005	23	M	M	C	NA	NA	0	Group	Tool	5	0	0	LULU 4510	3
LYLE 6427	36106	M	17	7	01/09/2005	6	M	M	C	NA	NA	0	Group	Tool	6	0	0	LYLE 6427	1
MAE 2242	23743	F	17	7	01/09/2005	40	W	M	W	NA	NA	0	Group	Tool	3	0	0	MAE 2242	4
MAGIC 5855	33809	M	17	7	01/09/2005	13	M	M	C	0	0	0	Group	Tool	7	1	4	MAGIC 5855	2
MAHI 5650	33034	F	17	7	01/09/2005	15	M	M	C	NA	NA	0	Group	Tool	3	0	0	MAHI 5650	2
MAHSHO 5480	32442	M	17	7	01/09/2005	16	M	M	C	NA	NA	0	Group	Tool	5	0	0	MAHSHO 5480	3
MAISHPA 4520	30007	F	17	7	01/09/2005	23	N	N	C	NA	NA	0	Group	Tool	4	0	0	MAISHPA 4520	3
MANDY 5062	30933	F	17	7	01/09/2005	20	M	M	C	0	0	0	Group	Tool	6	1	3	MANDY 5062	3
MARCUS 5789	33560	M	17	7	01/09/2005	13	M	M	C	NA	NA	0	Group	Tool	3	0	0	MARCUS 5789	2
MARTHA 2429	24108	F	17	7	01/09/2005	39	W	M	W	NA	NA	0	Group	Tool	9	0	1	MARTHA 2429	4
MARTIN 5883	33959	M	17	7	01/09/2005	12	M	M	C	NA	NA	0	Group	Tool	6	0	1	MARTIN 5883	2
MARY 1855	23743	F	17	7	01/09/2005	40	W	M	W	NA	NA	0	Group	Tool	7	0	0	MARY 1855	4
MAXI 5360	31978	F	17	7	01/09/2005	18	N	N	C	NA	NA	0	Group	Tool	3	0	0	MAXI 5360	3
MAYNARD 2200	26299	M	17	7	01/09/2005	33	W	M	W	NA	NA	0	Group	Tool	9	0	0	MAYNARD 2200	3
MICHON 4648	30314	F	17	7	01/09/2005	22	M	M	C	NA	NA	0	Group	Tool	6	0	0	MICHON 4648	3
MILONI 5050	30940	F	17	7	01/09/2005	20	M	M	C	NA	NA	0	Group	Tool	1	0	0	MILONI 5050	3
MISCHINI 5301	31778	F	17	7	01/09/2005	18	M	M	C	NA	NA	0	Group	Tool	1	0	0	MISCHINI 5301	3
MISTY 5042	30850	F	17	7	01/09/2005	21	U	U	U	NA	NA	0	Group	Tool	3	0	0	MISTY 5042	3
MONIQUE 5769	33480	F	17	7	01/09/2005	14	M	M	C	NA	NA	0	Group	Tool	4	0	0	MONIQUE 5769	2
MOOSE 2045	25569	M	17	7	01/09/2005	35	W	M	W	NA	NA	0	Group	Tool	10	0	0	MOOSE 2045	4
MUFFIN 4345	29676	F	17	7	01/09/2005	24	M	M	C	NA	NA	0	Group	Tool	5	0	1	MUFFIN 4345	3
NAHAGIO 4532	30037	F	17	7	01/09/2005	23	M	M	C	NA	NA	0	Group	Tool	3	0	0	NAHAGIO 4532	3
NAHJA 5664	33058	F	17	7	01/09/2005	15	N	N	C	NA	NA	0	Group	Tool	6	0	0	NAHJA 5664	2
NAHKO 5295	31731	M	17	7	01/09/2005	18	M	M	C	NA	NA	0	Group	Tool	2	0	0	NAHKO 5295	3
NICK 5432	32240	M	17	7	01/09/2005	17	M	M	C	0	0	0	Group	Tool	7	1	5	NICK 5432	3
NINA 4760	30654	F	17	7	01/09/2005	21	M	M	C	NA	NA	0	Group	Tool	4	0	0	NINA 4760	3
NOWI 4716	30448	M	17	7	01/09/2005	22	M	M	C	NA	NA	0	Group	Tool	4	0	0	NOWI 4716	3
OKI 5080	30999	F	17	7	01/09/2005	20	M	M	C	NA	NA	0	Group	Tool	4	0	0	OKI 5080	3
OREO 5315	31804	F	17	7	01/09/2005	18	N	N	C	NA	NA	0	Group	Tool	2	0	0	OREO 5315	3
OSCAR 5563	32702	M	17	7	01/09/2005	16	N	N	C	NA	NA	0	Group	Tool	3	0	0	OSCAR 5563	3
PACER 2957	25934	M	17	7	01/09/2005	34	W	M	W	NA	NA	0	Group	Tool	2	0	0	PACER 2957	4
PAHSTIHL 5221	31467	F	17	7	01/09/2005	19	N	N	C	NA	NA	0	Group	Tool	2	0	0	PAHSTIHL 5221	3
PATTI 2371	25204	F	17	7	01/09/2005	36	W	M	W	NA	NA	0	Group	Tool	2	0	0	PATTI 2371	4
PECOS 5421	32201	M	17	7	01/09/2005	17	M	M	C	NA	NA	0	Group	Tool	5	0	1	PECOS 5421	3
PEHGIA 5047	30860	F	17	7	01/09/2005	21	M	M	C	NA	NA	0	Group	Tool	1	0	0	PEHGIA 5047	3
PEPPER 2106	24473	F	17	7	01/09/2005	38	W	M	W	NA	NA	0	Group	Tool	9	0	0	PEPPER 2106	4
PERRY 1549	23012	M	17	7	01/09/2005	42	W	M	W	NA	NA	0	Group	Tool	2	0	1	PERRY 1549	4
PIERRE 1844	22647	M	17	7	01/09/2005	43	W	M	W	NA	NA	0	Group	Tool	4	0	1	PIERRE 1844	4
PIMACH 5873	33936	M	17	7	01/09/2005	12	M	M	C	NA	NA	0	Group	Tool	4	0	0	PIMACH 5873	2
PIPLIN 6035	34484	M	17	7	01/09/2005	11	M	M	C	NA	NA	0	Group	Tool	2	0	0	PIPLIN 6035	2
POLLY 1756	24838	F	17	7	01/09/2005	37	W	M	W	0	0	0	Group	Tool	6	1	4	POLLY 1756	4
PRISSY 2430	24838	F	17	7	01/09/2005	37	W	M	W	0	0	0	Group	Tool	4	1	4	PRISSY 2430	4
PUNCH 4647	30313	M	17	7	01/09/2005	22	M	M	C	NA	NA	0	Group	Tool	6	0	0	PUNCH 4647	3
QUINCY 2721	25934	F	17	7	01/09/2005	34	W	M	W	NA	NA	0	Group	Tool	6	0	0	QUINCY 2721	4
RADAR 5608	32887	M	17	7	01/09/2005	15	M	M	C	NA	NA	0	Group	Tool	7	0	0	RADAR 5608	2
REEUH 5294	31714	M	17	7	01/09/2005	18	M	M	C	NA	NA	0	Group	Tool	1	0	0	REEUH 5294	3
RHODA 1841	23012	F	17	7	01/09/2005	42	W	M	W	NA	NA	0	Group	Tool	2	0	0	RHODA 1841	4
ROGER 2246	25569	M	17	7	01/09/2005	35	W	M	W	NA	NA	0	Group	Tool	0	0	0	ROGER 2246	4
ROSIE 3459	27390	F	17	7	01/09/2005	30	U	U	U	0	0	0	Group	Tool	4	1	4	ROSIE 3459	3
ROXANNE 5681	33143	F	17	7	01/09/2005	14	M	M	C	NA	NA	0	Group	Tool	0	0	0	ROXANNE 5681	2
RUSTY 6176	34989	M	17	7	01/09/2005	9	M	M	C	NA	NA	0	Group	Tool	3	0	0	RUSTY 6176	2
SABRINA 2167	24838	F	17	7	01/09/2005	37	W	M	W	NA	NA	0	Group	Tool	3	0	0	SABRINA 2167	4
SAHBA 5666	33063	F	17	7	01/09/2005	15	M	M	C	NA	NA	0	Group	Tool	4	0	0	SAHBA 5666	2
SAMSON 5063	30939	M	17	7	01/09/2005	20	M	M	C	0	0	0	Group	Tool	5	1	3	SAMSON 5063	3
SANDY 3153	26299	F	17	7	01/09/2005	33	W	M	W	NA	NA	0	Group	Tool	7	0	0	SANDY 3153	3
SHAHEE 5645	33016	M	17	7	01/09/2005	15	M	M	C	NA	NA	0	Group	Tool	6	0	0	SHAHEE 5645	2
SIMBA 2724	25934	M	17	7	01/09/2005	34	W	M	W	NA	NA	0	Group	Tool	3	0	0	SIMBA 2724	4
SKEETER 3823	36330	M	17	7	01/09/2005	6	U	U	U	0	0	0	Group	Tool	4	1	4	SKEETER 3823	1
SIMON 2113	24838	M	17	7	01/09/2005	37	W	M	W	NA	NA	0	Group	Tool	4	0	0	SIMON 2113	4
SINDEE 6496	36330	F	17	7	01/09/2005	6	M	M	C	0	0	0	Group	Tool	6	1	4	SINDEE 6496	1
SOPHIE 5442	32289	F	17	7	01/09/2005	17	M	M	C	NA	NA	0	Group	Tool	6	0	1	SOPHIE 5442	3
SPARKY 5492	32479	M	17	7	01/09/2005	16	N	N	C	NA	NA	0	Group	Tool	0	0	0	SPARKY 5492	3
STAUN 5036	30829	M	17	7	01/09/2005	21	M	M	C	NA	NA	0	Group	Tool	3	0	0	STAUN 5036	3
SUHNA 5647	33028	F	17	7	01/09/2005	15	M	M	C	NA	NA	0	Group	Tool	3	0	0	SUHNA 5647	2
TABU 9703	33475	M	17	7	01/09/2005	14	M	M	C	NA	NA	0	Group	Tool	2	0	0	TABU 9703	2
TAFFY 9713	36396	F	17	7	01/09/2005	6	M	M	C	NA	NA	0	Group	Tool	0	0	0	TAFFY 9713	1
TAHMIA 5565	32704	F	17	7	01/09/2005	16	M	M	C	NA	NA	0	Group	Tool	1	0	0	TAHMIA 5565	3
TAMBLO 5695	33230	M	17	7	01/09/2005	14	M	M	C	NA	NA	0	Group	Tool	1	0	0	TAMBLO 5695	2
TANG 2169	24838	F	17	7	01/09/2005	37	W	M	W	NA	NA	0	Group	Tool	3	0	0	TANG 2169	4
TANYA 2354	25204	F	17	7	01/09/2005	36	W	M	W	NA	NA	0	Group	Tool	0	0	0	TANYA 2354	4
TASHA 5871	33926	F	17	7	01/09/2005	12	M	M	C	NA	NA	0	Group	Tool	7	0	0	TASHA 5871	2
TINA 5210	31436	F	17	7	01/09/2005	19	M	M	C	NA	NA	0	Group	Tool	6	0	1	TINA 5210	3
TINKER 4751	30619	M	17	7	01/09/2005	21	U	U	U	NA	NA	0	Group	Tool	3	0	1	TINKER 4751	3
TODY 2720	25934	F	17	7	01/09/2005	34	W	M	W	NA	NA	0	Group	Tool	0	0	0	TODY 2720	4
TOHBI 5556	32673	M	17	7	01/09/2005	16	M	M	C	NA	NA	0	Group	Tool	2	0	0	TOHBI 5556	3
TONY 5651	33044	M	17	7	01/09/2005	15	U	U	U	NA	NA	0	Group	Tool	2	0	0	TONY 5651	2
TOTONI 6007	34363	M	17	7	01/09/2005	11	M	M	C	NA	NA	0	Group	Tool	2	0	0	TOTONI 6007	2
TRACEY 5300	31778	F	17	7	01/09/2005	18	N	N	C	NA	NA	0	Group	Tool	2	0	0	TRACEY 5300	3
TULIK 4206	29342	F	17	7	01/09/2005	25	M	M	C	NA	NA	0	Group	Tool	6	0	0	TULIK 4206	3
VERANA 2431	25204	F	17	7	01/09/2005	36	W	M	W	NA	NA	0	Group	Tool	4	0	0	VERANA 2431	4
URSULA 1719	23377	F	17	7	01/09/2005	41	W	M	W	0	0	0	Group	Tool	4	1	3	URSULA 1719	4
WOTONI 4562	30115	F	17	7	01/09/2005	23	M	M	C	NA	NA	0	Group	Tool	0	0	0	WOTONI 4562	3
XENA 6487	36229	F	17	7	01/09/2005	6	M	M	C	NA	NA	0	Group	Tool	3	0	0	XENA 6487	1
ZIPPY 2537	25934	M	17	7	01/09/2005	34	W	M	W	NA	NA	0	Group	Tool	3	0	1	ZIPPY 2537	4
ZOE 10254	37359	F	17	7	01/09/2005	3	M	M	C	NA	NA	0	Group	Tool	8	0	1	ZOE 10254	1
ABBEY 2105	32955	F	18	8	06/06/2007	17	W	M	W	NA	NA	0	Group	Box	2	0	2	ABBEY 2105	3
ADONIS 3521	27434	M	18	8	06/06/2007	32	M	M	C	NA	NA	0	Group	Box	4	0	4	ADONIS 3521	3
AHNI 6104	34721	F	18	8	06/06/2007	12	M	M	C	NA	NA	0	Group	Box	4	0	1	AHNI 6104	2
AJAX 3912	28491	M	18	8	06/06/2007	29	U	U	U	NA	NA	0	Group	Box	6	0	6	AJAX 3912	3
AKIMEL 4152	29260	M	18	8	06/06/2007	27	N	N	C	0.67	0.33	1	Group	Box	6	1	1	AKIMEL 4152	3
ALEX 5188	31412	M	18	8	06/06/2007	21	M	M	C	0.67	0.33	1	Group	Box	6	1	4	ALEX 5188	3
ALLIE 5540	32622	F	18	8	06/06/2007	18	N	N	C	NA	NA	0	Group	Box	0	0	0	ALLIE 5540	3
ALPHA 5066	30994	F	18	8	06/06/2007	22	M	M	C	1	0.67	1	Group	Box	7	1	4	ALPHA 5066	3
ANGIE 3462	27395	F	18	8	06/06/2007	32	W	M	W	1	0.67	1	Group	Box	5	1	1	ANGIE 3462	3
ARMOND 9728	31720	M	18	8	06/06/2007	20	U	U	U	0.33	0	1	Group	Box	5	1	5	ARMOND 9728	3
